"var1","var2"
59.4148,41.7736
68.8799,27.3453
129.6076,59.1521
NA,69.933
152.0512,81.9026
137.7009,88.2903
96.2069,45.4909
NA,53.4146
74.2329,42.391
4.5279,15.9606
59.4977,32.366
69.0215,91.3831
102.8018,48.2535
NA,22.1887
20.6916,30.422
6.2911,18.7197
108.5535,22.4629
3.1508,14.1921
165.2555,60.5753
6.4382,16.2458
90.6769,77.5998
NA,80.2285
NA,35.0972
97.7756,53.7968
32.4855,19.2302
NA,55.1975
95.977,41.3542
9.3023,34.6336
56.9342,56.4054
NA,76.8161
91.5916,54.4697
87.892,34.3068
8.0567,27.4218
79.2529,44.9122
0,3.0536
NA,96.5533
54.0325,37.5307
NA,13.752
NA,54.7135
NA,94.2022
9.344,38.3738
30.9424,29.2131
101.2417,28.6289
NA,61.2891
NA,105.1117
NA,24.5042
56.2842,71.4318
1.1388,12.4923
NA,82.6749
87.8231,53.4095
NA,64.9521
NA,43.8772
53.0964,50.506
80.2762,12.7499
32.0901,22.9354
102.0741,84.8262
NA,46.6508
10.2386,21.7688
NA,95.3052
44.7284,30.228
88.2841,39.7291
25.828,48.6699
259.5559,81.6162
30.4216,32.338
NA,20.5851
NA,33.6061
96.4073,39.4738
91.4709,70.6823
30.314,34.74
NA,68.4621
0.0088,14.8551
11.8126,25.6183
62.0327,12.7345
NA,50.558
69.9282,58.8593
64.2246,21.6685
5.2234,22.754
NA,72.0351
72.833,33.6947
77.4941,34.4946
252.4883,100.2213
115.7944,31.1693
45.8654,41.8512
35.7898,30.6712
141.5719,20.2487
3.0162,27.2741
0.0284,6.3142
107.9023,49.2261
80.7242,50.6512
NA,68.2934
65.502,22.7128
14.7623,11.7271
38.8436,41.1688
NA,103.3081
62.6469,70.4918
86.39,30.7331
107.4096,45.4774
NA,80.2591
NA,34.1911
NA,84.7507
73.484,53.9782
NA,33.9862
50.8447,31.7854
NA,125.4731
0,7.0125
26.8996,30.2076
NA,30.7586
24.7881,45.5663
NA,85.934
107.5518,34.2045
NA,54.1048
108.9882,57.982
53.9582,19.1274
56.3863,54.524
48.1384,40.5726
60.1253,45.0646
156.4907,71.6531
NA,67.6427
NA,55.3143
NA,17.5032
NA,85.2378
NA,94.7102
129.0646,69.8904
44.5681,24.0783
37.7461,47.7386
89.9542,41.0991
NA,53.2572
8.0276,22.5905
55.2613,49.3492
64.7312,28.3698
59.4951,31.8037
NA,148.5229
NA,108.5389
195.9953,86.0245
21.6777,42.9506
189.1742,57.2895
71.3003,7.3472
92.7098,29.7988
66.1277,72.6135
32.8718,31.4384
78.4601,8.564
97.2695,42.2707
33.5486,35.2076
181.31,63.0352
NA,82.4185
NA,75.0357
NA,98.5821
NA,14.4843
NA,12.8146
NA,102.4033
156.6454,99.0194
97.0664,25.0982
NA,147.4475
26.081,20.4028
7.2554,30.6308
139.385,67.3596
113.3006,73.0813
83.8338,62.1415
73.5182,55.8701
116.1564,45.4415
NA,63.9577
NA,22.2211
58.0139,48.5596
NA,85.3133
93.5619,61.8512
80.6319,28.9519
145.1367,70.208
72.0188,26.068
127.282,70.1876
NA,111.4038
82.7508,19.2163
9.4586,21.6063
96.1397,46.1775
9.641,7.3722
NA,106.6115
NA,42.2525
NA,49.1106
15.5836,20.19
17.0803,19.8185
32.0204,18.1138
NA,55.6451
3.158,38.3001
85.1953,50.6145
158.6132,89.1559
NA,77.6007
10.0817,39.2762
NA,62.6334
43.8905,32.9127
58.8006,58.2046
0.0432,18.4558
33.7364,16.1739
NA,68.3768
171.0921,36.641
NA,88.0905
79.7519,63.4955
NA,63.2518
22.9443,24.9953
107.7282,51.6256
132.0496,103.0346
NA,19.6394
NA,112.2693
54.0146,54.6926
16.0323,25.8026
68.325,63.1122
NA,52.2503
129.4678,86.7177
166.961,111.4587
102.1851,68.3134
134.9038,37.529
59.5383,35.3296
46.7149,37.0773
NA,43.0453
44.3425,41.2649
0.2901,9.8743
128.8775,77.5446
NA,25.6232
NA,51.5159
6.0493,17.4833
40.4638,54.6605
NA,69.509
117.3587,63.803
78.8819,21.8848
NA,51.9791
113.0499,42.3833
176.7177,101.108
119.6477,49.5002
204.2651,19.4538
2.5815,31.2019
50.5768,36.6055
53.8142,21.964
17.5604,25.0104
78.7025,37.2419
NA,88.1247
40.8489,11.975
155.5467,64.4023
33.9121,43.2154
11.3767,29.4611
NA,162.8574
NA,43.0422
41.8856,21.2914
23.435,27.478
66.8749,82.2411
57.7876,43.5244
10.9395,19.141
32.7285,21.1198
109.5283,48.0156
86.3864,44.5021
52.5394,56.0765
104.9754,68.1769
NA,47.7067
46.6072,48.3118
178.6021,75.2423
0.0264,5.8406
126.3907,56.1566
35.9614,61.7369
NA,74.092
68.7377,62.3832
11.1981,33.5209
13.958,24.9467
49.4062,38.5882
12.8127,23.0903
54.5901,18.4616
20.146,21.829
13.8163,19.5203
55.2615,44.3817
NA,38.4895
79.0245,49.2771
29.5933,39.7093
35.8173,59.8706
NA,96.8903
3.6573,22.5507
65.3501,35.1792
72.5471,61.7902
0.0915,9.1645
53.2914,59.2617
147.8728,35.1197
36.9122,21.5577
35.5299,48.4249
NA,65.3785
93.0269,41.88
124.3014,21.8343
196.05,67.8242
108.6745,58.3948
85.4092,93.1998
0.0358,10.9177
64.672,22.3558
NA,50.4489
22.2339,18.5409
61.8555,49.2617
NA,116.5021
39.8935,50.463
168.7345,89.4154
NA,44.912
55.9631,57.1739
111.5433,34.9645
NA,40.3176
56.3285,74.6404
NA,33.1282
10.7012,23.7577
199.4184,70.885
84.8464,60.6945
45.2645,21.7909
31.5163,56.4996
107.9041,39.5096
NA,25.5714
4.1624,24.635
105.7344,45.8076
58.9468,39.9003
41.1707,52.608
55.4492,33.5936
NA,119.4673
NA,33.1885
35.2558,45.4064
NA,76.2763
29.3497,19.426
NA,103.0561
78.6447,50.7372
107.9717,25.8053
55.6478,41.6913
105.9755,83.5977
33.3079,41.2251
30.1827,43.707
68.9681,22.8611
94.2578,34.9372
167.9044,61.5587
41.1628,55.2657
2.6883,15.416
NA,31.5507
0.1334,8.2907
1e-04,12.845
43.2962,48.8128
NA,49.0818
NA,86.3826
0.0134,18.9725
0.0726,11.8982
NA,61.1307
35.8536,18.7283
52.2644,50.5468
NA,56.7892
0,2.9052
NA,79.5951
69.3827,57.209
112.5105,75.7404
NA,66.3283
0.0043,14.4527
106.0522,39.6947
NA,24.3814
236.299,14.221
NA,59.9771
57.7066,38.7804
0.0196,13.679
63.4055,50.9031
